OWUV,0.0269,0,0,0,0,0,0,0,0,-100,-100,-100
PTA,25.68,0,6.05,0,0,0,0,0,0,-100,-100,-100
UFCS,25.67,667940000.0,2.26,3,1,0,2,0,0,9.08,28.55,48.03
HSTRF,0.2,0,0,0,0,0,0,0,0,-100,-100,-100
QUCCF,0.0,0,10.05,17,7,4,6,0,0,-100,-100,-100
NPPRF,0.0,679210000.0,2.23,2,1,0,0,0,1,-100,-100,-100
MOTN,9.92,143080000.0,0,0,0,0,0,0,0,-100,-100,-100
NICH,0.043,0,0,0,0,0,0,0,0,-100,-100,-100
TPTA,25.0,0,6.01,0,0,0,0,0,0,-100,-100,-100
FLCB,25.65,0,2.35,0,0,0,0,0,0,-100,-100,-100
DS.PRB,0,0,0,2,2,0,0,0,0,-100,-100,-100
ACRHF,3.3,345490000.0,0,6,4,0,2,0,0,-15.15,51.52,81.82
STL.PRA,0,0,0,6,5,0,1,0,0,-100,-100,-100
SSPFF,0.0,0,0,1,0,0,1,0,0,-100,-100,-100
NOXOF,0.0,112460000.0,0,1,1,0,0,0,0,-100,-100,-100
MNRO,59.05,1986000000.0,1.62,10,0,0,10,0,0,-22.1,6.69,11.77
ARHTF,0.1702,23530000.0,0,1,0,0,0,0,1,16057.46,16057.46,16057.46
JANL,0.0,16200000.0,0,0,0,0,0,0,0,-100,-100,-100
PSMG,18.51,0,1.77,0,0,0,0,0,0,-100,-100,-100
NUTTQ,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
GUDDY,0.0,792010000.0,6.59,9,2,0,7,0,0,-100,-100,-100
FOSUY,0.0,0,2.05,2,1,0,1,0,0,-100,-100,-100
CNP,26.27,15372000000.0,2.42,16,9,0,7,0,0,-1.03,6.59,10.39
NRWS,0.0,0,0,1,1,0,0,0,0,-100,-100,-100
PTALF,0.2112,177390000.0,0,3,3,0,0,0,0,188.83,264.58,321.4
SIELY,4.92,0,4.52,3,1,0,1,0,1,-71.34,-64.43,-43.29
BKHPY,0,0,0,2,0,0,2,0,0,-100,-100,-100
FLLIY,0.0,0,0,2,1,0,1,0,0,-100,-100,-100
AUSDF,0.0,500480000.0,9.96,6,5,0,1,0,0,-100,-100,-100
CFSKF,0.0,634570000.0,1.47,1,0,0,1,0,0,-100,-100,-100
SGIOY,13.48,0,1.82,14,7,0,7,0,0,-100,-100,-100
DTXMF,0.0,13690000.0,0,1,1,0,0,0,0,-100,-100,-100
BRCKF,0.0,265220000.00000003,0,0,0,0,0,0,0,-100,-100,-100
HPQFF,0.52,133150000.0,0,0,0,0,0,0,0,-100,-100,-100
PCG.PRG,0,0,0,0,0,0,0,0,0,-100,-100,-100
ENTA,47.28,905970000.0,0,8,3,1,3,0,1,-25.97,33.25,126.31
BKU,41.67,3936000000.0,2.17,14,7,0,6,0,1,-4.01,13.99,29.59
LDSCY,10.19,0,4.36,16,8,2,4,0,2,-38.86,-23.85,-9.22
EMTRF,0.3999,26920000.0,0,0,0,0,0,0,0,-100,-100,-100
INTH,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
TSYRF,0.0,945610000.0,0,0,0,0,0,0,0,-100,-100,-100
EPIX,21.51,850060000.0,0,3,3,0,0,0,0,67.36,90.61,132.45
GLCN,42.36,0,0.16,0,0,0,0,0,0,-100,-100,-100
GHRS,20.21,1036000000.0,0,4,4,0,0,0,0,28.65,73.18,73.18
